division,order_number,customer_name,proj_num,Complexity,fiscal_year,eck_lead_wks,include,eck_month,book_month,days_to_book
VP,1701059301,LEFEVER BUILDING SYSTEMS,17010593,Complex (200-400),2017,8,Yes,2017-06-01,2017-06-01,1
BUTLER,1502379101,"NUTERRA MANAGEMENT, LLC",15023791,Moderate (100-200),2017,71,No,2017-05-01,2017-05-01,0
BUTLER,1602776101,"ORADELL CONSTRUCTION CO., INC.",16027761,High Complex (400-800),2017,26.86,No,2017-06-01,2017-06-01,1
BUTLER,1602907401,"RACANELLI CONSTRUCTION COMPANY, INC.",16029074,Complex (200-400),2017,23.57,No,2017-06-01,2017-07-01,35
BUTLER,1700390301,"THE WHAYLAND COMPANY, LLC",17003903,High Complex (400-800),2017,16.57,Yes,2017-06-01,2017-06-01,1
BUTLER,1700444301,"WAGNER CONSTRUCTION COMPANY, LLC",17004443,Complex (200-400),2017,14.29,Yes,2017-05-01,2017-05-01,1
BUTLER,1700693001,"CCKK, L.L.C.",17006930,Moderate (100-200),2017,11.86,Yes,2017-06-01,2017-06-01,1
BUTLER,1700834401,"CONSTRUCTION MANAGEMENT, INC.",17008344,Simple (<=100),2017,5.29,Yes,2017-05-01,2017-05-01,1
BUTLER,1700844701,"BLUE ROCK CONSTRUCTION, INC.",17008447,Complex (200-400),2017,9.29,Yes,2017-06-01,2017-06-01,0
BUTLER,1700867101,"STANKER & GALETTO, INC.",17008671,Complex (200-400),2017,10,Yes,2017-06-01,2017-06-01,1
BUTLER,1700960601,"RACANELLI CONSTRUCTION COMPANY, INC.",17009606,High Complex (400-800),2017,10.43,Yes,2017-06-01,2017-06-01,2
BUTLER,1700977901,"RACANELLI CONSTRUCTION COMPANY, INC.",17009779,High Complex (400-800),2017,10.29,Yes,2017-06-01,2017-06-01,1
BUTLER,1701064401,"LBM CONSTRUCTION, INC.",17010644,Simple (<=100),2017,6.57,Yes,2017-06-01,2017-06-01,0
BUTLER,1701189101,B.B.C.S. INC.,17011891,Simple (<=100),2017,6.57,Yes,2017-06-01,2017-06-01,3
BUTLER,1701227301,"ROZELL INDUSTRIES, INC.",17012273,Simple (<=100),2017,6.14,Yes,2017-06-01,2017-06-01,3
BUTLER,1601204901,"SPAN CONSTRUCTION & ENGINEERING, INC.",16012049,Very High Complex (>800),2017,42,Yes,2017-03-01,2017-03-01,1
BUTLER,1602597201,"SPAN CONSTRUCTION & ENGINEERING, INC.",16025972,Very High Complex (>800),2017,26.29,Yes,2017-05-01,2017-05-01,0
VP,1700274901,MARCUS CONSTRUCTION COMPANY,17002749,Simple (<=100),2017,14.86,No,2017-05-01,2017-05-01,2
VP,1700311401,MARCUS CONSTRUCTION COMPANY,17003114,Moderate (100-200),2017,16.57,No,2017-05-01,2017-06-01,20
VP,1700311601,MARCUS CONSTRUCTION COMPANY,17003116,Simple (<=100),2017,10.71,Yes,2017-04-01,2017-05-01,27
VP,1700674701,"A. B. SYSTEMS, INC.",17006747,High Complex (400-800),2017,10.57,Yes,2017-05-01,2017-05-01,1
VP,1700980301,CMC BUILDERS,17009803,Simple (<=100),2017,4.86,Yes,2017-06-01,2017-06-01,0
VP,1701004101,"A. B. SYSTEMS, INC.",17010041,Complex (200-400),2017,6.14,Yes,2017-05-01,2017-06-01,1
VP,1701132101,MARCUS CONSTRUCTION COMPANY,17011321,High Complex (400-800),2017,7.71,Yes,2017-06-01,2017-06-01,1
VP,1701137401,WESTERN STEEL BUILDERS COMPANY,17011374,Simple (<=100),2017,3.14,Yes,2017-05-01,2017-05-01,1
VP,1701143701,MARCUS CONSTRUCTION COMPANY,17011437,Moderate (100-200),2017,7,Yes,2017-06-01,2017-06-01,1
VP,1700596701,"AM-1 ROOFING, INC.",17005967,Moderate (100-200),2017,11.14,Yes,2017-06-01,2017-07-01,6
VP,1700621601,"CHG BUILDING SYSTEMS, INC.",17006216,Moderate (100-200),2017,12.71,Yes,2017-06-01,2017-06-01,0
VP,1701102101,U.S. TECHNICAL STRUCTURES,17011021,Simple (<=100),2017,6.43,Yes,2017-06-01,2017-06-01,1
VP,1701148801,"TRICO COMPANIES, LLC",17011488,Simple (<=100),2017,8.29,Yes,2017-06-01,2017-07-01,7
BUTLER,1501092401,OREILLY AUTOMOTIVE,15010924,Moderate (100-200),2017,101.29,No,2017-05-01,2017-11-01,163
BUTLER,1501597701,OREILLY AUTOMOTIVE,15015977,Moderate (100-200),2017,76.43,No,2017-02-01,2018-10-01,613
BUTLER,1600003101,OREILLY AUTOMOTIVE,16000031,Moderate (100-200),2017,53.57,No,2017-02-01,2017-06-01,112
BUTLER,1600117101,OREILLY AUTOMOTIVE,16001171,Moderate (100-200),2017,64.29,No,2017-04-01,2017-08-01,131
BUTLER,1600176601,OREILLY AUTOMOTIVE,16001766,Moderate (100-200),2017,56.86,No,2017-02-01,2017-08-01,163
BUTLER,1600785201,OREILLY AUTOMOTIVE,16007852,Moderate (100-200),2017,47.71,No,2017-03-01,2017-07-01,120
BUTLER,1601024901,OREILLY AUTOMOTIVE,16010249,Moderate (100-200),2017,18,No,2016-09-01,2017-06-01,282
BUTLER,1601136001,OREILLY AUTOMOTIVE,16011360,Moderate (100-200),2017,46.43,No,2017-04-01,2018-04-01,384
BUTLER,1601280601,OREILLY AUTOMOTIVE,16012806,Moderate (100-200),2017,41.29,No,2017-03-01,2017-06-01,71
BUTLER,1601377601,OREILLY AUTOMOTIVE,16013776,Moderate (100-200),2017,43.57,No,2017-04-01,2017-08-01,118
BUTLER,1601398801,OREILLY AUTOMOTIVE,16013988,Moderate (100-200),2017,52.71,No,2017-06-01,2018-03-01,272
BUTLER,1601463301,OREILLY AUTOMOTIVE,16014633,Moderate (100-200),2017,42.86,No,2017-04-01,2018-04-01,376
BUTLER,1601712101,OREILLY AUTOMOTIVE,16017121,Moderate (100-200),2017,11.57,Yes,2016-10-01,2017-05-01,225
BUTLER,1601783701,OREILLY AUTOMOTIVE,16017837,Moderate (100-200),2017,37.14,No,2017-04-01,2017-09-01,162
BUTLER,1601851001,OREILLY AUTOMOTIVE,16018510,Moderate (100-200),2017,16.29,No,2016-12-01,2017-10-01,315
BUTLER,1602034101,OREILLY AUTOMOTIVE,16020341,Moderate (100-200),2017,32.29,No,2017-04-01,2017-06-01,62
BUTLER,1602137401,OREILLY AUTOMOTIVE,16021374,Moderate (100-200),2017,15,Yes,2016-12-01,2017-06-01,182
BUTLER,1602292601,OREILLY AUTOMOTIVE,16022926,Moderate (100-200),2017,14.43,Yes,2017-01-01,2017-06-01,152
BUTLER,1602312101,OREILLY AUTOMOTIVE,16023121,Moderate (100-200),2017,15.29,No,2017-01-01,2017-05-01,125
BUTLER,1602341701,OREILLY AUTOMOTIVE,16023417,Moderate (100-200),2017,15.14,No,2017-01-01,2018-11-01,647
BUTLER,1602458101,OREILLY AUTOMOTIVE,16024581,Moderate (100-200),2017,23.71,No,2017-04-01,2019-11-01,928
BUTLER,1602584801,OREILLY AUTOMOTIVE,16025848,Moderate (100-200),2017,19.29,No,2017-03-01,2017-06-01,77
BUTLER,1602587801,OREILLY AUTOMOTIVE,16025878,Moderate (100-200),2017,32,No,2017-06-01,2017-10-01,107
BUTLER,1602726001,OREILLY AUTOMOTIVE,16027260,Moderate (100-200),2017,24.86,No,2017-05-01,2019-11-01,895
BUTLER,1602726101,OREILLY AUTOMOTIVE,16027261,Moderate (100-200),2017,26.71,No,2017-06-01,2018-04-01,329
BUTLER,1602747901,OREILLY AUTOMOTIVE,16027479,Moderate (100-200),2017,24.57,No,2017-05-01,2017-08-01,71
BUTLER,1602768801,OREILLY AUTOMOTIVE,16027688,Moderate (100-200),2017,23.43,No,2017-05-01,2017-07-01,63
BUTLER,1602901201,OREILLY AUTOMOTIVE,16029012,Moderate (100-200),2017,16.29,No,2017-04-01,2017-08-01,124
BUTLER,1700147701,OREILLY AUTOMOTIVE,17001477,Moderate (100-200),2017,19.14,No,2017-05-01,2017-09-01,122
BUTLER,1700147801,OREILLY AUTOMOTIVE,17001478,Moderate (100-200),2017,18.14,No,2017-05-01,2017-07-01,50
BUTLER,1700288301,OREILLY AUTOMOTIVE,17002883,Moderate (100-200),2017,19.57,No,2017-06-01,2018-01-01,207
BUTLER,1700369801,OREILLY AUTOMOTIVE,17003698,Moderate (100-200),2017,17.43,No,2017-06-01,2017-06-01,7
BUTLER,1700370001,OREILLY AUTOMOTIVE,17003700,Moderate (100-200),2017,19.43,No,2017-06-01,2018-05-01,331
BUTLER,1700387301,OREILLY AUTOMOTIVE,17003873,Moderate (100-200),2017,10.43,Yes,2017-04-01,2017-06-01,62
BUTLER,1700400901,OREILLY AUTOMOTIVE,17004009,Moderate (100-200),2017,15.43,No,2017-05-01,2017-08-01,94
BUTLER,1700488201,OREILLY AUTOMOTIVE,17004882,Moderate (100-200),2017,17.29,No,2017-06-01,2017-10-01,131
BUTLER,1700550301,OREILLY AUTOMOTIVE,17005503,Moderate (100-200),2017,17.57,No,2017-06-01,2018-07-01,386
BUTLER,1700637401,OREILLY AUTOMOTIVE,17006374,Moderate (100-200),2017,15,Yes,2017-06-01,2017-07-01,38
BUTLER,1700779201,OREILLY AUTOMOTIVE,17007792,Moderate (100-200),2017,6,Yes,2017-05-01,2017-07-01,68
BUTLER,1700783401,OREILLY AUTOMOTIVE,17007834,Moderate (100-200),2017,5.71,Yes,2017-05-01,2017-09-01,128
VP,1700631401,FRED J PIETTE COMPANY INC.,17006314,Moderate (100-200),2017,11,Yes,2017-05-01,2017-05-01,3
VP,1700631501,FRED J PIETTE COMPANY INC.,17006315,Moderate (100-200),2017,8.71,Yes,2017-05-01,2017-05-01,8
VP,1700721501,FRED J PIETTE COMPANY INC.,17007215,Simple (<=100),2017,7.86,Yes,2017-05-01,2017-06-01,44
VP,1700816401,ZAREMBA GROUP LLC,17008164,Moderate (100-200),2017,8.86,Yes,2017-05-01,2017-05-01,1
VP,1700865801,"A. AUTIELLO CONSTRUCTION CO., INC.",17008658,Simple (<=100),2017,8.86,Yes,2017-05-01,2017-06-01,2
VP,1701100101,"LOVE'S TRAVEL STOPS & COUNTRY STORES, INC.",17011001,Moderate (100-200),2017,6.14,Yes,2017-06-01,2017-06-01,1
VP,1701221801,"PALMETTO CAPITAL GROUP , LLC",17012218,Moderate (100-200),2017,5.86,Yes,2017-06-01,2017-07-01,16
VP,1701237401,"PALMETTO CAPITAL GROUP , LLC",17012374,Moderate (100-200),2017,4,Yes,2017-06-01,2017-06-01,7
VP,1701330101,"PALMETTO CAPITAL GROUP , LLC",17013301,Moderate (100-200),2017,5.29,Yes,2017-06-01,2017-07-01,7
VP,1602553801,DONALD W. PERRY COMPANY,16025538,Complex (200-400),2017,16,Yes,2017-06-01,2017-06-01,0
VP,1602789101,LYNAM CONSTRUCTION LLC,16027891,Simple (<=100),2017,26,No,2017-06-01,2017-06-01,-12
VP,1602830001,LYNAM CONSTRUCTION LLC,16028300,Simple (<=100),2017,27,No,2017-06-01,2017-06-01,1
VP,1700272801,"J. KOKOLAKIS CONTRACTING, INC.",17002728,Moderate (100-200),2017,21.57,No,2017-06-01,2017-07-01,8
VP,1700310901,"BLUERIDGE GENERAL, INC.",17003109,Simple (<=100),2017,17.29,No,2017-06-01,2017-06-01,0
VP,1700735501,SEXTON CONSTRUCTION CORPORATION,17007355,Moderate (100-200),2017,9.14,Yes,2017-05-01,2017-05-01,12
VP,1700760201,DAN BRADLEY,17007602,Complex (200-400),2017,10.86,Yes,2017-06-01,2017-06-01,3
VP,1701337901,"HARROD AND ASSOC. CONSTRUCTORS, INC.",17013379,Simple (<=100),2017,3.43,Yes,2017-06-01,2017-07-01,5
VP,1601778501,"MOORE INDUSTRIES, LLC.",16017785,Very High Complex (>800),2017,34.29,Yes,2017-06-01,2017-06-01,0
VP,1602646101,"JULIAN P. BARRY GENERAL CONTRACTOR, LP.",16026461,High Complex (400-800),2017,27.86,No,2017-06-01,2017-06-01,1
VP,1700172501,"SURE STEEL, INC.",17001725,Very High Complex (>800),2017,22.14,Yes,2017-06-01,2017-07-01,6
VP,1700622301,"DAVID WOOD CONSTRUCTION, INC.",17006223,Simple (<=100),2017,4,Yes,2017-05-01,2017-06-01,12
VP,1701002501,"DAVID WOOD CONSTRUCTION, INC.",17010025,Moderate (100-200),2017,8.86,Yes,2017-06-01,2017-06-01,1
VP,1701058001,"DAVID WOOD CONSTRUCTION, INC.",17010580,Complex (200-400),2017,6,Yes,2017-06-01,2017-06-01,0
VP,1701061801,"BOB MOORE CONSTRUCTION, INC.",17010618,Moderate (100-200),2017,7.57,Yes,2017-06-01,2017-06-01,3
VP,1701227601,"N.C. STURGEON, LP",17012276,Simple (<=100),2017,6.86,Yes,2017-06-01,2017-06-01,1
BUTLER,1700215501,"U-HAUL INTERNATIONAL, INC.",17002155,Moderate (100-200),2017,18.29,No,2017-05-01,2017-05-01,6
BUTLER,1700595001,"U-HAUL INTERNATIONAL, INC.",17005950,Simple (<=100),2017,15.43,No,2017-06-01,2017-06-01,3
BUTLER,1700969201,"U-HAUL INTERNATIONAL, INC.",17009692,Moderate (100-200),2017,6.14,Yes,2017-05-01,2017-05-01,0
VP,1700805401,"MAJORITY BUILDERS, INC.",17008054,Simple (<=100),2017,6.14,Yes,2017-05-01,2017-05-01,3
VP,1701004901,"EMPIRE CONTRACTORS, INC.",17010049,Simple (<=100),2017,7.29,Yes,2017-06-01,2017-06-01,1
VP,1701186401,"HAMSTRA BUILDERS, INC.",17011864,Moderate (100-200),2017,6.57,Yes,2017-06-01,2017-06-01,0
VP,1700561001,"BCM CONSTRUCTION COMPANY, INC.",17005610,Moderate (100-200),2017,6,Yes,2017-05-01,2017-05-01,5
VP,1700743001,"AFFORDABLE CONCEPTS, INC.",17007430,Complex (200-400),2017,13.14,Yes,2017-06-01,2017-06-01,1
BUTLER,1700734901,CLOUSE CONSTRUCTION CORP.,17007349,Complex (200-400),2017,8.29,Yes,2017-05-01,2017-05-01,10
BUTLER,1701020801,RHOADS & JOHNSON L.L.C.,17010208,Simple (<=100),2017,5.29,Yes,2017-05-01,2017-05-01,5
BUTLER,1701239901,"RAND CONSTRUCTION ENGINEERING, INC.",17012399,Moderate (100-200),2017,6.86,Yes,2017-06-01,2017-06-01,1
VP,1602841001,"CHG BUILDING SYSTEMS, INC.",16028410,Simple (<=100),2017,24.86,No,2017-06-01,2017-06-01,1
BUTLER,1700312301,BBS CONSTRUCTION(ONTARIO) LTD.,17003123,Simple (<=100),2017,8.86,Yes,2017-03-01,2017-04-01,19
BUTLER,1701222701,RICE CONTRACTING LTD.,17012227,Simple (<=100),2017,4.86,Yes,2017-06-01,2017-06-01,0
VP,1700617801,PETER A. ROTELLA CORPORATION,17006178,High Complex (400-800),2017,14.43,Yes,2017-06-01,2017-06-01,1
VP,1700751801,MONMOUTH EQUIPMENT,17007518,Simple (<=100),2017,8.57,Yes,2017-05-01,2017-07-01,52
VP,1701011801,"TEDESCO CONSTRUCTION SERVICES, INC.",17010118,Moderate (100-200),2017,9.14,Yes,2017-06-01,2017-06-01,0
VP,1701012001,"V I P STRUCTURES, INC.",17010120,Simple (<=100),2017,3.14,Yes,2017-05-01,2017-05-01,5
BUTLER,1700410601,"DURA/CONSTRUCTORS, INC",17004106,Complex (200-400),2017,17.86,No,2017-06-01,2017-06-01,0
BUTLER,1700688601,JOHN M CALL,17006886,Moderate (100-200),2017,15.43,No,2017-06-01,2017-06-01,1
VP,1701044001,"HOYT HAYES JR. CONSTRUCTION, INC.",17010440,Complex (200-400),2017,8.29,Yes,2017-06-01,2017-06-01,1
VP,1701145001,"SURE STEEL, INC.",17011450,High Complex (400-800),2017,6,Yes,2017-06-01,2017-06-01,0
VP,1701375001,PEOPLES CONSTRUCTION CORP.,17013750,Simple (<=100),2017,4,Yes,2017-06-01,2017-07-01,5
BUTLER,1700794301,"KEEFE CONSTRUCTION SERVICES, INC.",17007943,Moderate (100-200),2017,10.14,Yes,2017-05-01,2017-06-01,1
BUTLER,1700808001,GUY TABACCO CONSTRUCTION COMPANY,17008080,Complex (200-400),2017,11.14,Yes,2017-06-01,2017-06-01,0
BUTLER,1700808601,"KEEFE CONSTRUCTION SERVICES, INC.",17008086,Complex (200-400),2017,11,Yes,2017-06-01,2017-06-01,4
BUTLER,1601749501,"STEEL SOLUTIONS, INC.",16017495,Moderate (100-200),2017,16.14,Yes,2016-11-01,2017-07-01,230
BUTLER,1701103301,"NORTHWEST CONTRACTING, INC.",17011033,Complex (200-400),2017,8.14,Yes,2017-06-01,2017-06-01,5
VP,1601666101,MODERN STEEL STRUCTURES,16016661,CII/FT,2017,2.14,Yes,2016-08-01,2017-06-01,305
VP,1601800901,AGRICOMM QUALITY BUILDING SYSTEMS,16018009,CII/FT,2017,2.43,Yes,2017-04-01,2017-05-01,24
VP,1601801101,AGRICOMM QUALITY BUILDING SYSTEMS,16018011,CII/FT,2017,3,Yes,2017-05-01,2017-05-01,20
VP,1700139801,CODELL CONSTRUCTION COMPANY,17001398,CII/FT,2017,14.57,No,2017-04-01,2017-06-01,49
VP,1700590101,L. R. WOOTEN BUILDING CO.,17005901,CII/FT,2017,3.86,Yes,2017-04-01,2017-05-01,6
VP,1700699701,SCOTT STEEL ERECTORS INC,17006997,CII/FT,2017,2.71,Yes,2017-04-01,2018-03-01,342
VP,1700757101,D. R. REYNOLDS CO. INC.,17007571,CII/FT,2017,4,Yes,2017-05-01,2017-05-01,1
VP,1700789801,E. A. DUNCAN CONSTRUCTION,17007898,CII/FT,2017,3,Yes,2017-04-01,2017-05-01,38
VP,1700822001,JAMES STEEL ERECTION,17008220,CII/FT,2017,2.14,Yes,2017-06-01,2017-08-01,86
VP,1700883301,BOUMA & COMPANY,17008833,CII/FT,2017,2.29,Yes,2017-04-01,2017-06-01,41
VP,1701002001,JAMES STEEL ERECTION,17010020,CII/FT,2017,2.71,Yes,2017-05-01,2017-06-01,36
VP,1701033201,JAMES STEEL ERECTION,17010332,CII/FT,2017,2.57,Yes,2017-06-01,2017-06-01,19
VP,1701047001,"CUSTOM STEEL BUILDINGS, INC.",17010470,CII/FT,2017,1.43,Yes,2017-06-01,2017-06-01,0
VP,1701047301,"CUSTOM STEEL BUILDINGS, INC.",17010473,CII/FT,2017,2.57,Yes,2017-06-01,2017-06-01,0
VP,1701047601,"CUSTOM STEEL BUILDINGS, INC.",17010476,CII/FT,2017,3,Yes,2017-06-01,2017-06-01,0
VP,1701047701,"CUSTOM STEEL BUILDINGS, INC.",17010477,CII/FT,2017,3,Yes,2017-06-01,2017-06-01,0
VP,1701067801,"BCM CONSTRUCTION COMPANY, INC.",17010678,CII/FT,2017,3.14,Yes,2017-06-01,2017-06-01,6
VP,1701113201,ABUCK INC.,17011132,CII/FT,2017,2.14,Yes,2017-05-01,2017-05-01,0
VP,1701113501,"BAUMER CONSTRUCTION, INC.",17011135,CII/FT,2017,2.71,Yes,2017-06-01,2017-06-01,0
VP,1701147201,"BCM CONSTRUCTION COMPANY, INC.",17011472,CII/FT,2017,1.71,Yes,2017-05-01,2017-05-01,6
VP,1701189901,JAMES STEEL ERECTION,17011899,CII/FT,2017,1.86,Yes,2017-06-01,2017-06-01,1
VP,1701218001,"VICTORY DESIGN, INC.",17012180,CII/FT,2017,3.86,Yes,2017-06-01,2017-06-01,1
VP,1701221401,LEFEVER BUILDING SYSTEMS,17012214,CII/FT,2017,4.29,Yes,2017-06-01,2017-06-01,4
VP,1701242601,CHOICE BUILDING SYSTEMS,17012426,CII/FT,2017,2.14,Yes,2017-06-01,2017-06-01,6
VP,1701246801,KEITH KESSEL CONSTRUCTION,17012468,CII/FT,2017,3.86,Yes,2017-06-01,2017-06-01,2
VP,1701269101,"N.C. STURGEON, LP",17012691,CII/FT,2017,3.86,Yes,2017-06-01,2017-06-01,1
VP,1701280501,BOUMA & COMPANY,17012805,CII/FT,2017,2.29,Yes,2017-06-01,2017-07-01,34
VP,1701321701,"BAUMER CONSTRUCTION, INC.",17013217,CII/FT,2017,2.86,Yes,2017-06-01,2017-06-01,0
VP,1701399701,"HELM BUILDING ENTERPRISES, LTD.",17013997,CII/FT,2017,3,Yes,2017-06-01,2017-06-01,0
VP,1701437401,BUZICK CONSTRUCTION CO.,17014374,CII/FT,2017,1.71,Yes,2017-06-01,2017-06-01,1
VP,1701444401,ROY NESS CONTRACTING,17014444,CII/FT,2017,3.29,Yes,2017-06-01,2017-07-01,5
VP,1701490601,"HIVELY CONTRACTING, INC",17014906,CII/FT,2017,2.29,Yes,2017-06-01,2017-07-01,5
VP,1701509701,LOCK STEEL BUILDING CO.,17015097,CII/FT,2017,2.14,Yes,2017-06-01,2017-06-01,0
BUTLER,1602765801,"HICKS CONSTRUCTION CO., INC.",16027658,CII/FT,2017,27.29,No,2017-06-01,2017-06-01,1
BUTLER,1602893001,"SUPREME CONSTRUCTION, INC.",16028930,CII/FT,2017,7.29,Yes,2017-02-01,2017-02-01,18
BUTLER,1700517101,"MILLER CONSTRUCTION & EQUIPMENT, INC.",17005171,CII/FT,2017,14.57,No,2017-06-01,2017-06-01,3
BUTLER,1700575001,"RACANELLI CONSTRUCTION COMPANY, INC.",17005750,CII/FT,2017,3.29,Yes,2017-03-01,2017-07-01,107
BUTLER,1700656601,"FACILITY BUILDERS & ERECTORS, INC.",17006566,CII/FT,2017,11.29,Yes,2017-05-01,2017-05-01,1
BUTLER,1700702201,QUINN CONSTRUCTION CORPORATION,17007022,CII/FT,2017,1.86,Yes,2017-03-01,2018-02-01,327
BUTLER,1700717301,MAR BUILDING SOLUTIONS LLC,17007173,CII/FT,2017,2,Yes,2017-03-01,2017-03-01,0
BUTLER,1700719301,"STEINBERGER CONSTRUCTION, INC.",17007193,CII/FT,2017,2,Yes,2017-03-01,2017-05-01,39
BUTLER,1700762401,"KIMBALL CONSTRUCTION COMPANY, INC.",17007624,CII/FT,2017,10.14,Yes,2017-05-01,2017-05-01,5
BUTLER,1700825201,"PALACE BUILDERS, INC.",17008252,CII/FT,2017,4.43,Yes,2017-04-01,2017-05-01,8
BUTLER,1700889201,"STEEL WORX SOLUTIONS, LLC",17008892,CII/FT,2017,2.71,Yes,2017-04-01,2017-04-01,0
BUTLER,1700922901,"LARSON CONTRACTING CENTRAL, LLC",17009229,CII/FT,2017,10.14,Yes,2017-06-01,2017-06-01,1
BUTLER,1700927801,"NORTH VALLEY BUILDING SYSTEMS, INC",17009278,CII/FT,2017,7.86,Yes,2017-05-01,2017-06-01,7
BUTLER,1700981601,ROTERT CONSTRUCTION CO.,17009816,CII/FT,2017,2.43,Yes,2017-04-01,2017-05-01,24
BUTLER,1700992601,ART SCHOENTHALER CONSTRUCTION,17009926,CII/FT,2017,2,Yes,2017-04-01,2017-05-01,8
BUTLER,1701009801,"RAND CONSTRUCTION ENGINEERING, INC.",17010098,CII/FT,2017,1.71,Yes,2017-04-01,2017-05-01,2
BUTLER,1701011901,"C.W.B. CONTRACTORS, INC.",17010119,CII/FT,2017,3.14,Yes,2017-05-01,2017-05-01,1
BUTLER,1701063901,TYCON BUILDING SYSTEMS INC.,17010639,CII/FT,2017,7.43,Yes,2017-06-01,2017-06-01,1
BUTLER,1701094701,"AYARS & AYARS, INCORPORATED",17010947,CII/FT,2017,2.86,Yes,2017-05-01,2017-06-01,27
BUTLER,1701096201,SYSTEMS WEST INC.,17010962,CII/FT,2017,2,Yes,2017-05-01,2017-06-01,33
BUTLER,1701099801,"GATEWAY BUILDING SYSTEMS, INC.",17010998,CII/FT,2017,2,Yes,2017-05-01,2017-06-01,27
BUTLER,1701100301,"GATEWAY BUILDING SYSTEMS, INC.",17011003,CII/FT,2017,2,Yes,2017-05-01,2017-06-01,27
BUTLER,1701102601,"JAMES WARE CONSTRUCTION, INC.",17011026,CII/FT,2017,2.14,Yes,2017-05-01,2017-05-01,1
BUTLER,1701108601,"AXXENT BUILDINGS, LLC",17011086,CII/FT,2017,2.14,Yes,2017-05-01,2017-06-01,31
BUTLER,1701111101,"JOHNSON WILSON CONSTRUCTORS, INC.",17011111,CII/FT,2017,9.14,Yes,2017-06-01,2017-07-01,5
BUTLER,1701118001,"NORTH VALLEY BUILDING SYSTEMS, INC",17011180,CII/FT,2017,7.57,Yes,2017-06-01,2017-06-01,1
BUTLER,1701125201,FITZ'S CONSTRUCTION LTD.,17011252,CII/FT,2017,2.71,Yes,2017-05-01,2017-05-01,0
BUTLER,1701127701,"RICHARDSON BROTHERS CONSTRUCTION, INC.",17011277,CII/FT,2017,2.43,Yes,2017-05-01,2017-06-01,25
BUTLER,1701169001,"J. A. WAGNER CONSTRUCTION, INC.",17011690,CII/FT,2017,2,Yes,2017-05-01,2017-05-01,0
BUTLER,1701196501,ENTERPRISE SALES COMPANY,17011965,CII/FT,2017,1.57,Yes,2017-05-01,2017-05-01,3
BUTLER,1701209901,"DUBLIN CONSTRUCTION CO., INC.",17012099,CII/FT,2017,1.43,Yes,2017-05-01,2017-05-01,0
BUTLER,1701210201,"DUBLIN CONSTRUCTION CO., INC.",17012102,CII/FT,2017,1.43,Yes,2017-05-01,2017-05-01,3
BUTLER,1701215901,"KING-KNUTSON CONSTRUCTION, INC.",17012159,CII/FT,2017,2,Yes,2017-05-01,2017-05-01,0
BUTLER,1701243501,THE MULLETT COMPANY,17012435,CII/FT,2017,1.71,Yes,2017-05-01,2017-06-01,8
BUTLER,1701247501,ENTERPRISE SALES COMPANY,17012475,CII/FT,2017,1.57,Yes,2017-05-01,2017-05-01,4
BUTLER,1701257901,"WUNDERLICH BUILDERS, INC.",17012579,CII/FT,2017,1.43,Yes,2017-05-01,2017-05-01,0
